Index;Title;Text;IsFake
0;"
CORONAVIRUS HOAX: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome";"China was long ago set to be the 5G showcase for the world.
Major metro areas and technology hubs like Wuhan were
selected to be official 5G Demonstration Zones. Only such a
high concentration of 5G radio-frequency transmitters and
microwave towers would permit a citywide build-out of the
Internet of Things. 2019 was the year Wuhan, the capital of
Hubei, was “expected to have 10,000 5G base stations by
the end of 2019, said Song Qizhu, head of Hubei Provincial
Communication Administration”.[1] Then the coronavirus hit,
so the whole world was told. What really happened was that
a new variant of the coronavirus was released in Wuhan after
the 5G experimenters saw an epidemic of 5G Syndrome
explode. The 5G guinea pigs were literally dropping like flies
as soon as they flipped the 5G switch. The ERs and urgent care
clinics were overwhelmed. The 5G scientists watching the
burgeoning public health crisis immediately activated Plan B:
Blame it on a virulent flu—a bioengineered coronavirus that
produces symptoms similar to 5G Syndrome.”

5G Syndrome Maps Perfectly with Coronavirus Outbreaks

There’s a LOT of hard evidence now emerging the further away we get from the original crime scene in Wuhan, China and as the coronavirus pops up around the world in 5G Hotspots that indicates this pandemic is being manufactured for multiple reasons.

As it turns out, those nations with the most advanced 5G roll-outs have the highest incidence of COVID-19 cases, both infection rates and death rates.

In those countries that have permitted IoT build-outs where the 5G power grids are the most developed, the coronavirus infection rate is taking off.

What’s really interesting is that Africa has thus far shown very few cases. As of this weekend there were only 3 medically acknowledged cases on the entire continent. Which begs the question: How do the Third World countries in Africa avoid such a contagious strain of the coronavirus given the pervasive lack of proper sanitation and necessary hygiene?

In light of how deeply involved the Chinese are with development projects all over Africa, it’s quite curious how that infection number is still so low. Perhaps it’s directly related to the absence of 5G roll-outs in the vast majority of African nations.

Before those nations suffering the greatest number of coronavirus infections to date are further investigated — China, South Korea, Italy, Iran, Japan, Singapore, Hong Kong, Germany, United States, France, Spain, Kuwait — another curious development ought to be looked at closely.

The Proof is in the Cruise Ships

The single best proof of the quite obvious 5G-Coronavirus linkage are the various cruise ships that have seen an inexplicable mushrooming of coronavirus cases, even after all the passengers were quarantined.

Many of the biggest cruise lines now advertise the fact that they have the latest and greatest 5G technologies in place. The most advanced cruise ships actually possess the best examples of what the Internet of Things (IoT) will look like in the future … if the build-outs proceed unimpeded by the very serious health concerns and safety issues.

5G Nations

It has also been astutely observed that those nations with the most pervasive and powerful 5G networks fully functioning are those that have suffered the biggest outbreaks of the coronavirus to date. Why should anyone be surprised at this wholly predictable outcome?

The following excerpt comes from: CORONAVIRUS BOMBSHELL: This proves it should be named “5G COVID-19”

The importance of viewing the coronavirus COVID-19 as a “Telephone Disease” is that by doing so it explains some perplexing mysteries about the spread of this disease—such as why this disease has struck the Gulf nations and monarchies in the Persian Gulf region, but becomes explainable when one notices their ongoing 5G revolution—most particularly in Iran, where this country is completely blanketed to its smallest village with 4G technology coverage—but who are now putting the finishing touches on rolling out 5G technology throughout their entire nation in the coming weeks—finishing touches that included Iran activating their Chinese bought 5G technology for testing—that was immediately met by Iran having more coronavirus cases and deaths of any nation outside of China—and whose Vice President is one of seven of their top government officials now infected.

Both 5G Demonstration Zones such as Wuhan, China and floating 5G cruise liners are correctly considered 5G Hotspots. These 5G Hotspots, for the uninitiated, are really KILL ZONES because many folks will die early the longer they bask in those dangerously high levels of 5G radio-frequencies and microwave radiation.

The following excerpt from a previous exposé provides critical links for every individual who lives, works and/or plays in a 5G Super-Hotspots.

Which brings us to the single most perilous aspect of the military deployment of 5G—KILL ZONES.

All the scientific evidence available in the public domain now indicates that wherever 5G infrastructure is located in the greatest concentration generating the most powerful EMFs and microwaves, those 5G Super-Hotspots will effectively function as kill zones. As follows:

5G Super-Hotspots: You better know where the “kill zones” are located!

In order to fully grasp the highly destructive and deadly potential of these rapidly emerging 5G Super-Hotspots, the following video exposé presents a scenario where the most powerful “directed energy weapons” will be located within these 5G kill zones.

5G WEAPONRY: Microwave Radiation Technology Being Deployed as Depopulation Warfare, Full Spectrum Dominance & Total Human Control (Video)

Which bring us to the primary purpose of this article—5G Syndrome.

5G Syndrome

5G Syndrome is a relatively new disease that has yet to go mainstream because of how its official recognition would immediately terminate the ongoing 5G roll-out.

Exactly what are the symptoms of 5G Syndrome?

There are many, and they manifest differently in each victim of this insidious disease.

Of course, a good number of typical flu symptoms mimic 5G Syndrome.

But what’s most important is that these two illnesses — Influenza and 5G Syndrome — will mutually sustain each other. In that way, it can be quite confusing to accurately tease out which symptoms are associated with which disease.

In other words, if you have the flu, your exposure to 5G will make it much worse. Likewise, if you have a case of full-blown 5G Syndrome, you will be much more susceptible to getting the flu, and if you do, it will be significantly worse.



Back to the primary symptoms. The best medical reference that we have at this point, since 5G Syndrome is still a relatively new medical phenomenon, is another disease known variously EMF Hypersensitivity Illness and Electrohypersensitivity (EHS).

What follows are just a few of the most common symptoms that are frequently experienced by people who know they have EHS. (Also, see the preceding diagram.)

Nausea, headaches and migraines
Ringing in the ears
Numbness in the face or other body parts
Dry eyes and sight problems
Inability to concentrate and unexplained fatigue
Depression
Tachycardia and cardiac arrhythmia
Hyperactivity and insomnia
Redness and rashes
Dryness in the throat and mouth
Swollen sinuses and symptoms rhinitis
(Source: Electrohypersensitivity: What you need to know about the allergy of the 21st century)
There are several other symptoms that are also being recognized as the direct result of intensive EMF and microwave exposures. As follows:

Headaches, migraines
Chronic exhaustion
Inner agitation
Sleeplessness, daytime sleepiness
Tinnitus
Susceptibility to infection
Nervous and connective tissue pains, for which the usual causes do not explain even the most conspicuous symptoms.
(Source: Electrohypersensitivity: What you need to know about the allergy of the 21st century)
KEY POINT: It’s essential to correctly comprehend the difference between 5G Syndrome and 5G flu.  While there are several similarities, it’s the differences that really matter.  Hence, every smartphone user and IoT enthusiast is compelled to contemplate any new health conditions or unusual symptoms or inexplicable sickness, particularly those that have been chronic and/or long term. See: CORONAVIRUS SPECIAL REPORT: Worldwide Outbreaks of 5G Syndrome and 5G Flu Driving Pandemic

Conclusion

The Wuhan coronavirus pandemic has awakened many to the reality of 5G Syndrome.

Perhaps it took all of humanity to get freaked out by a scary frankenvirus — COVID-19 — in order to wake up to this extreme and growing danger in our midst—5G technology and the slowly emerging IoT.

With this crucial understanding, at least now we know what we’re really dealing with. So, the best thing informed people can do is pass the word around: It’s really 5G and your smartphone that is causing the current pandemic, not necessarily the coronavirus or even any of the many other flu bugs circulating around the planet in 2020.

Now many folks will naturally get a bad case of one of the many types of influenzas, or even the coronavirus itself, and they will need to take that illness/disease very seriously. If they are elderly or infirm or suffer from other illnesses, they especially need to follow the best advice out there.  For the sake of prevention, there is this sage advice: Here’s How Everyone Can Avoid Getting The Coronavirus.

For other alternative treatments and holistic approaches, excellent guidance such as this can be followed: Natural Protection Strategy Against Viruses, Including the Coronavirus

Lastly, it’s important to note that the 5G Syndrome angle presented here is only one of several perspectives concerning what is really an ongoing series of bioterrorist attacks being carried out in 5G-intensive zones. The perpetrators are continuing the bio-attacks wherever they must cover up an epidemic of 5G syndrome so that the worldwide military deployment of 5G is not jeopardized by disclosures about the extremely serious health dangers and safety hazards.

Do you see how they do it?!

The NWO globalists are very clever, aren’t they?

State of the Nation
March 1, 2020

Author’s Note

This “CORONAVIRUS HOAX” does not mean there is not a highly contagious bioengineered coronavirus that is being released as a bioweapon in the nations that have experienced the ongoing bioterrorists attacks. It means that these stealthy bio-attacks were meant to cover up the raging epidemics of 5G Syndrome in those specific locations. So, the coronavirus is quite real just as SARS and MERS, Bird Flu and Swine Flu were real. But, the Wuhan coronavirus was specifically bioengineered in order to create and hype a global pandemic around COVID-19. Again, the hoax aspect does not refer to a non-existent coronavirus; that frankenvirus is quite real indeed and being cunningly used as a decoy.

Source

[1] ‘Wuhan City, the capital of Hubei, is expected to have 10,000 5G base stations by the end of 2019’ — Head of Hubei Provincial Communication Administration.

Editor’s Note

It’s of paramount importance to understand that the proven 5G-Coronavirus connection is just one piece of this [ONGOING] series of bioterrorist attacks and 5G assaults, their systematic cover-ups and the subsequent psyops. The 27 exposés posted in the following link flesh out the skeleton of this “staged hoax blended with reality” which ought to be understood by every resident on planet Earth: BIOENGINEERED and 5Ged CORONAVIRUS PANDEMIC: What Everyone Needs to Know";1
1;NYC Man Drops Dead In Middle Of Street – Suspected Coronavirus! ;"An Asian man wearing a surgical mask passed out yesterday in the middle of a crowded street in Queens. The man was rushed to the hospital, where according to social media reports, he is believed to have died.
The man’s cause of death has not yet been determined, but plenty of people suspect that he may have died of the coronavirus.

The incident occurred in Flushing Queens, an area of the city filled with Chinese immigrants.
According to reports, a man was walking down the street, when he was suddenly overcome with a bought of coughing. He collapsed onto the floor, and after a few seconds, he stopped moving.
As the video shows, officers quickly arrived on the scene, but seemed unwilling to physically assist the man, perhaps out of fear.
Unfortunately, New York City has been facing a rise in racism against Asian Americans since the outbreak of the coronavirus.";1
2;Cristiano Ronaldo Turns His Hotels Into Coronavirus Hospitals;"All the hotels owned by Cristiano from the next few days will be transformed into free hospitals for Coronavirus patients who need a bed and a structure where they can be treated. Ronaldo doctors and anyone working in the facilities will also pay out of their own pockets to make them hospitals accessible to all as soon as possible, thus helping healthcare in Portugal to cope with this difficult moment.

The world is going through a very difficult moment which demands the utmost care and attention from all of us. I speak to you today not as a football player, but as a son, father, a human being concerned with the latest developments that is affecting the whole world.";1
4;American Airlines will ground about half its fleet next month;"American Airlines is grounding nearly half of its fleet and canceling 55,000 flights next month, according to an internal message sent to employees obtained by CNN. The note did not disclose any furloughs or layoffs, and the airline has declined to comment on whether it is considering such cuts.

The airline also expects “demand to fall even more before it gets better,"" the message stated.

The striking numbers in an internal email from American Airlines President Robert Isom include a reduction of international flights by 75% and domestic flights by 30% in April, “with plans to reduce it even further in May.”

The message said American would park 130 wide body and 320 narrow body planes. The airline has told regulators that its core fleet includes 942 aircraft.

The airline, which is the world's largest, also said it is continuing efforts to reduce the number of employees it pays, by expanding voluntary leave programs and “offering an early out” to employees with at least 15 years of service. The note did not disclose any furloughs or layoffs, and the airline has declined to comment on whether it is considering such cuts.";0
5;COVID 19 - How can one know if a person is infected?;By the time he has a fever and/or a cough and goes to the lung hospital, the patient may have 50% fibrosis, and then it’s too late! Taiwanese experts provide simple self-monitoring that we can do every morning: Take a deep breath and hold your breath for more than 10 seconds. If you can do this successfully without coughing and without difficulty, without anxiety or chest tightness, it shows that you do not have fibrosis and generally indicate no infection.;1
6;Taiwan Experts Provide A Simple Self-Check That We Can Do Every Morning;"The new NCP coronavirus may not show sign of infection for many days, how can one know if he/she is infected. By the time they have fever and/or cough and goes to the hospital, the lungs is usually 50 % Fibrosis and it’s too late!
Taiwan experts provide a simple self-check that we can do every morning:
Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stuffiness or tightness etc it proves there is no fibrosis in the lungs, basically indicating no infection.
In critical times, please self-check every morning in an environment with clean air!
SERIOUS EXCELLENT ADVICE by Japanese doctors treating COVID-19 cases.  Everyone should ensure your mouth & throat is moist, never DRY. Take a few sips of water every 15 mins at least. WHY?  Even if the virus gets into your mouth…drinking water or other liquids will WASH them down through your oesophagus and into the stomach. Once there in tummy…your stomach ACID will kill all the virus. If you don’t drink enough water more regularly…the virus can enter your windpipes and into the LUNGS. That’s very dangerous.
Pls send and share with family, friends and everyone about this ! Take care everyone n may the world recovers from corona virus soon. May all be well n happy.";1
7;COVID-19 Found in Toilet Paper;"Masks were the first to go. Then, hand sanitizers.
Now, novel coronavirus panic buyers are snatching up … toilet paper?
Retailers in the US and Canada have started limiting the number of toilet paper packs customers can buy in one trip. Some supermarkets in the UK are sold out. Grocery stores in Australia have hired security guards to patrol customers.
But now the coronavirus has been found in the one place people never expected, toilet paper.
An estimated 6000 more people have contracted the virus in the United States tied to a contamination of toilet paper. Testing buy Washington State Health department confirmed the COVID-19 virus particles were present in the samples they took from five separate packages of toilet paper from Big Box stores. The CDC said this strain of deadly virus “breeds rapidly in tissue fibers.”
The CDC is urging people to using a wet washcloth when cleaning themselves after using the bathroom instead of toilet paper.
“Use a washcloth to clean yourself after you go to the bathroom, it’s not a big deal, that’s what we did back in the old days,” said Peter Lendl, who headed the investigation of the contaminated toilet paper. “Just know which one is yours.”
State Health departments are asking you to set your toilet paper outside so hazmat workers can come by and dispose of the contaminated items.
“We all need to work together,” said Peter. “We need each other as a community, as a society.”
Stores have been ordered to halt all sales of toilet paper until further notice. Toilet paper factories are being shut down while sanitation measures are being taken.";1
8;Bill Gates Admits “Vaccines Are Best Way To Depopulate;"It is not a new thing that some parents wouldn’t want their children to be vaccinated. They say that it is just wrong to inject their kids with a VIRUS—no matter what state it may be. They perceive it as making their children SICK. Physicians say otherwise as they believe that getting vaccinated will make one’s immune system ‘aware’ of viruses so that when it comes into contact with the body, our white blood cell ‘soldiers’ would know how to defend them. And for years, the doctors have been quite successful in convincing many people of this premise.
But now, a recent study puts to light a not-so-new problem with vaccines. And it is mainly because its adjuvant ‘Aluminum’ may be doing more harm than good.
Chemicals that are commonly used in the production of vaccines, according to the CDC, are done so to improve the effectiveness of the vaccine. Adjuvants like aluminum (one of the most common) are a component of vaccines that potentates the immune response to an antigen. The adjuvant is basically used to invoke the desired immune response.
Aluminum has been added to vaccines for approximately 90 years, and since then, a lot of controversy, especially in recent years, has emerged regarding their safety and effectiveness.
This controversy comes as a result of a number of recent studies (some of which are presented in this article) outlining clear concerns over the use of aluminum in this manner, as well as the fact that over the past few years, billions of dollars have been paid to families with vaccine injured children.
There are a number of reasons why more parents are choosing not to vaccinate their children.
This is quite concerning, given the fact that recommended immunization rates have more than doubled in the past few decades. In some developed countries, by the time a child is 4 to 6 years old, they will have received a total of 126 antigenic compounds, along with high amounts of aluminum adjuvants through routine vaccinations.
Here are some eye-opening reasons why so many people are starting to question the safety of administering vaccines that contain aluminum.
Our team works hard around the clock to bring you the best content on the web. Your likes, comments and shares not only provide emotional support to team WSL, but also allow us to carefully analyze your feedback and bring you more of the content you want.
We are always grateful for your courage and inspiration to read and watch our posts. If you like the information and insight we provide, please remember that it is a good thing to like, share and comment. Your empowerment is our success.";1
9;Trump Could Profit From Coronavirus Testing;"According to the Center for Disease Control and Prevention website, the CDC has developed a new laboratory test kit for use in testing patient specimens for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus that causes COVID-19. The CDC also claims that this test kit is intended for use with the Applied Biosystems 7500 Fast DX Real-Time PCR Instrument with SDS 1.4 software. This test is intended for use with upper and lower respiratory specimens collected from persons who meet CDC criteria for COVID-19 testing.
Applied Biosystems is one of the various brands under the Life Technologies brand of Thermo Fisher Scientific corporation. The brand is focused on integrated systems for genetic analysis, which include computerized machines and the consumables used within them, such as reagents. 
It is safe to say that the need of the federal government to use these devices provided by the Thermo Fisher Scientific Corp. will substantially increase profitability and likely increase the value of stock in the company. 
According to the Associated Press, Donald Trump, the current President of the United States who is supposed to be managing the Coronavirus epidemic and how the testing is conducted, has listed investments in V.F. Corp (VFC) and Thermo Fisher Scientific Corporation (TMO), both of which moved jobs out of the U.S. in high profile outsourcing deals. There is reason to believe that Donald Trump stands to profit from medical testing of coronavirus that will now take place in the United States. 
In 2016, Trump disclosed an 104-page public financial disclosure report, which confirmed that he held investments in companies like Ford Motor Co., Apple Inc. and the parent company of the maker of Oreo cookies. One of Trump’s main talking points during his initial campaign was that as president he would stop the outflow of American jobs. The companies he invested in at the time were subject to scrutiny because Trump was supporting companies that were responsible for major outsourcing. 
Both Fortune Magazine and The New York Post confirmed in May of 2016 that Trump listed investments in V.F. Corp. and Thermo Fisher Scientific. If Trump still maintains these investments, it is a direct conflict of interest to use a company that he stands to profit from to conduct coronavirus testing. 
Additionally, Trump’s transition team announced in Dec. 2016, that Trump had sold all of his stock interests ahead of taking the oath of office, but there was never any proof provided to confirm this statement. When asked on a conference call with reporters whether Trump had investments in Boeing at the time, then spokesman Jason Miller said the president-elect had sold all of his stocks in June of 2016.
According to the Associated Press, his advisers at the time provided no proof of the transactions and would not explain the apparent sell-off. Many of Trump’s financial records are still unknown, including his income tax returns which are still at issue in ongoing litigation. 
In Nov. 2017, a state banquet was held in Trump’s honor during a visit to China, where more than two dozen business titans were in attendance. One of the attendees was Gianluca Pettiti, President for Thermo Fisher Scientific China. The point of the dinner, according to sources, was for the White House to “home in” on companies that could announce “done deals” that would have the effect of chipping away at the U.S. trade deficit with China. But, considering the presence of Thermo Fisher Scientific and Trump’s previous (and possibly ongoing) personal financial relationship with the company, the guest list looks highly suspect. 
Virologists in Berlin produced the first diagnostic test for the Coronavirus a month and a half before the first COVID-19 case not linked to travel was diagnosed in the United States. The World Health Organization (WHO) began shipping coronavirus testing supplies to nearly 60 countries by February, but Trump didn’t want those kits.
The United States declined to use the WHO test, even temporarily as a bridge until the Centers for Disease Control and Prevention could produce its own test and the Trump administration has given no explanation as to why. Trump’s possible interest in the company that the U.S. will be using to provide the tests and the fact that if he might still own stock in Thermo Fisher Scientific and world stand to profit from the government contract, could be a major reason why no other tests were accepted. 
At this point, Trump needs to show proof of the sale of his stock in the company just to assure the American public that he did indeed properly divest all of his interests that could be considered a conflict. 
UPDATE: Upon accessing Trump’s financial disclosures for 2018/2019, there is no current investment in Thermo Fisher Scientific listed. There are however still some concerning issues; this report only covers disclosures up to May 19, 2019, so any new acquisitions would not be listed. Moreover, there are still trust accounts listed, such as DJT Holdings, that do not detail the nature of the holdings and specify “entity's other holdings and assets are reported elsewhere” in the listing.
Considering that it was confirmed that Trump did previously own stock in this company and that the Thermo Fisher Scientific president of the China division was a special CEO guest at a state dinner for Trump in China, it is difficult to say what his business relationship continues to be with the company that is receiving this huge government contract or what direct benefit Trump might be deriving from any continued relationship. We also do not have the disclosures of his children and any other relatives and what stock they are specifically invested in and if they stand to benefit personally. 
Stay tuned, I am still digging…";1
10;CORONA UNMASKED: Chinese Intelligence Officer Reveals True Magnitude of China’s Fake “Coronavirus” Crisis;"I am a senior Chinese military intelligence officer and I know the truth about the “corona virus” outbreak.  It is far worse than the media are telling you.
 
I am a Chinese citizen in Wuhan who occupies — or perhaps occupied — a high-ranking position in military intelligence.  I am also a member of the Chinese Communist Party. As a senior official near the top of the Party, I have access to a great deal of classified information and I have been involved in many top secret government projects.  I have a doctorate from a leading university in a western country, which is why I am able to write my account in English.
I have information that I believe could lead to the overthrow of my government.  It is also relevant to billions of people outside of China, all of whom are now in existential peril.
It will not surprise you to hear that if my identity were to be revealed, my life would be in grave danger, as would those of my wife and son.  I ask you to respect the fact that I have stripped out of this account all facts that would make it easy to identify me.
By now you will be familiar with the recent outbreak of 2019-nCoV, also known as NCP, or simply “coronavirus”. You will have heard that it originated in Wuhan, an industrial city in China, and that it came from an animal — most likely a bat or a pangolin — that was sold in a wild animal market.  You will have been told that it is an influenza-like illness that can in severe cases cause pneumonia, respiratory failure and death.
Finally, you may have heard that although the disease is highly infectious, it is dangerous only to the elderly or to those who have a compromised immune system.  The official lethality rate is approximately  2% or so.
All of that is a bunch of lies concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries.
Let me start by telling you that the world does not operate the way you think it does. Although countries like the US and China vie for global dominance, that competition is restricted to certain limited areas.
In most ways, the two countries are more interested in cooperation so that they can stop other competing countries from gaining more power.  They also have a shared interest in keeping real power out of the hands of their “ordinary” citizens. To this end, they have many different mechanisms by which they control the overwhelming majority of their media outlets.  The Americans in particular have perfected the art of creating made-up “divisions” between their two main parties which are designed to hide the fact that both serve the same masters.
 
These same nations also posses technology that is far more advanced than you can imagine and which is kept carefully hidden from public view.  This includes advanced artificial intelligence capable of undermining and deciding any election in the world; biological and chemical agents( 生化剂) that can manipulate and control the thinking patterns and behaviours of citizens to terrifying degrees; highly sophisticated manipulation techniques using hypnotic practices entirely unknown to the public; and other things that I will not go into now.
*******
My point is that the great nations do not compete so much as work together. Their principal goal is to shield the true workings of the world from the “uninitiated” public.
Let me return to the virus.
Last year, large-scale anti-government protests erupted in Hong Kong.
The Standing Committee of the Chinese Communist Party considered these to be a grave threat to the integrity and stability of the motherland.  The U.S. government and the EU both knew that the Chinese were secretly working on a biological agent that was supposed to make the protesters docile and obedient.  Without going into detail, I worked on that project.  We tried to develop a sort of spray that could be dispersed from helicopters or drones and that would lead to mental retardation and behavioural change.
Naturally, as Hong Kong is one of the most open and international cities in the world, the Party decided that it was too risky to release the agent in Hong Kong without first testing it.  For this, it needed a great number of human guinea pigs. Two groups were identified for this.
First, we rounded up a large number of so-called “islamic radicals” in Xinjiang Province and took them to what we called “training camps.”
We had already been using these camps for human experimentation for several years, but the Hong Kong protests meant that we redoubled our efforts.  We exposed the inmates to various “alpha” experimental agents.  As these were odourless and invisible, the subjects were not aware that they were taking part in medical trials.
The resulting high rates of cancer, premature dementia, suicidal depression and death by organ failure could easily be suppressed, as the camps are located in very remote parts of our motherland.
Once the initial experiments had yielded a “beta” agent, it was transported to Hubei Province, where it was deployed in a special military testing facility outside the city of Wuhan.  This was not even a particularly well-kept secret: the existence of this facility has been reported in international news.  Even the fact that it is located close to the wild animal market is a known fact.
By then our President had already introduced a “social credit” system that allowed us to identify disloyal, counter-revolutionary and bourgeois elements in our society.  Using the social credit scores — which are taken from online activity, electronic shopping behaviour and reports from informers in civil society — we selected some of the worst offenders.  These included human rights lawyers and activists, Christians, homosexuals, artists, intellectuals, people who speak foreign languages, and other undesirables.
Once these troublemakers had been collected and placed in the testing facility, we exposed them to the Agent, which is biochemical in nature and spread in an invisible aerosol, akin to certain viruses.  Initial results were encouraging, as we saw significant cognitive decline and reduction in higher mental processing facilities.  Essentially, our undesirables were becoming mildly mentally disabled, which is precisely the effect we wanted to produce in order to pacify the restive population of Hong Kong.
The resulting high rates of cancer, premature dementia, suicidal depression and death by organ failure could easily be suppressed, as the camps are located in very remote parts of our motherland.
