Index;Title;Text;IsFake
Once the initial experiments had yielded a “beta” agent, it was transported to Hubei Province, where it was deployed in a special military testing facility outside the city of Wuhan.  This was not even a particularly well-kept secret: the existence of this facility has been reported in international news.  Even the fact that it is located close to the wild animal market is a known fact.
By then our President had already introduced a “social credit” system that allowed us to identify disloyal, counter-revolutionary and bourgeois elements in our society.  Using the social credit scores — which are taken from online activity, electronic shopping behaviour and reports from informers in civil society — we selected some of the worst offenders.  These included human rights lawyers and activists, Christians, homosexuals, artists, intellectuals, people who speak foreign languages, and other undesirables.
Once these troublemakers had been collected and placed in the testing facility, we exposed them to the Agent, which is biochemical in nature and spread in an invisible aerosol, akin to certain viruses.  Initial results were encouraging, as we saw significant cognitive decline and reduction in higher mental processing facilities.  Essentially, our undesirables were becoming mildly mentally disabled, which is precisely the effect we wanted to produce in order to pacify the restive population of Hong Kong";1
11;Monaco’s Head of State Prince Albert II Contracts Coronavirus;"he palace of Monaco says its ruler, Prince Albert II, has tested positive for the new coronavirus but his health is not worrying.

Albert, 62, appeared to be the first head of state who has publicly said he contracted the virus.

In a statement Thursday, the palace said he is being treated by doctors from the Princess Grace Hospital, named after his U.S. actress mother. It says Albert is continuing to work from his home office in the palace and is in constant contact with members of his government.

In the statement, Albert urged residents of his tiny Mediterranean principality to respect confinement measures.

Albert is the second child of Princess Grace — formerly Grace Kelly — and Prince Rainier of Monaco. Albert became a five-time Olympic bobsledder and in recent years has been a global environmental campaigner.

Fluent in English and French, Albert graduated from Amherst College in Massachusetts with a degree in political science in 1981, and is a member of the International Olympic Committee.

He and his wife, the former Charlene Wittstock, have twin children.";0
12;China recasts itself as global coronavirus response leader as US, Europe struggle;"In a matter of weeks, Chinese President Xi Jinping and his Communist Party have apparently managed to convince the world to forget that they muzzled the coronavirus for months as it grew into what is now a global pandemic, silencing doctors and critics whose early alarms could have saved thousands of lives. Instead, the communist-run nation has now positioned itself as the country ahead of the coronavirus curve, even as they make unsubstantiated claims that the U.S. is behind the crisis.

From denying its central role in unleashing the pandemic to baseless finger-pointing and finally, to casting itself as a global savior, China's makeover has been aided by a compliant media and allies such as Russia and Iran who are eager to help deflect the blame to the U.S.
""Two narrative tracks that we’re seeing advanced by China is malign information trying to finger the U.S. as the origin of the coronavirus, and then the second narrative track is what we call ‘Brand China,’ which is the [Chinese government’s] effort to try and turn the crisis into a news story about the supremacy of the Chinese Communist Party as opposed to democratic systems that have allegedly mishandled the crisis,” U.S. Special Envoy Lea Gabrielle told The Washington Times. “So [it’s] basically a 'China' good, everyone else bad’ narrative.”
Indeed, China has been mounting a very public -- and largely successful -- humanitarian campaign to come across as a strong world leader. It's a power move that has allowed China to take over a role the United States and Europe have dominated for decades.
China's private and public sectors are working in lockstep to fast-track aid to countries that are in desperate need of it.
""The Chinese government has been trying to project Chinese state power beyond its borders and establish China as a global leader, not dissimilar to what the U.S. government has been doing for the better part of a century, and the distribution of medical aid is part of that mission,"" Dr. Yangyang Cheng, a postdoctoral research associate at Cornell University, told The Intercept.
Earlier this week, Xi pledged to send more medical experts to Italy, a country on track to surpass China in the number of coronavirus-related deaths when the numbers are tallied at the end of Thursday.
China has already sent 2,000 rapid diagnostic tests to the Philippines as well as aid to Japan and Iraq.
Chinese billionaire Jack Ma, co-founder of the Alibaba Group, has sent supplies and doctors to Iran, Iraq, Spain, France and Belgium. Ma said he will also donate masks, test kits and protective suits to every single African country battling the disease. Specifically, his foundation has pledged to donate 1.1 million testing kits, six million masks and 60,000 protective suits and face shields.
On Thursday, he tweeted: ""We join hands with Asian neighbors to fight Covid-19! We and Alibaba Foundation will donate 2 million masks, 150k test kits, 20k protective suits and 20k face shields to Indonesia, Malaysia, the Philippines and Thailand. More help to other Asian nations is on the way! Go Asia!""

Earlier this week, Serbian President Aleksandar Vucic pleaded for China's help during a televised address.
""European solidarity does not exist,"" Vucic said. ""That was a fairy tale on paper. I believe in my brother and friend Xi Jinping, and I believe in Chinese help.""
Despite the slam, Serbia is currently applying to become a member of the European Union.
China's bold international steps are in marked contrast to its initial response. The country has been accused of coverups and data manipulation that some argue make China at least partially responsible for the global pandemic that's led to more than 9,000 deaths.
A study by the University of Southampton in the U.K. published earlier this month, cited by Axios earlier this week, concluded that if Chinese authorities had acted accordingly three weeks earlier than they did, the number of coronavirus cases could have been reduced by as much as 95 percent and its spread across the world limited. Even acting one week earlier would have reduced the number by 66 percent.
""They made some blunderous mistakes in the early six or seven weeks, and then they came down hard with a gargantuan quarantine,"" said J. Stephen Morrison, director of the Global Health Policy Center at the Center for Strategic and International Studies. Now, he said, China is suppressing ""whatever additional dissident thoughts there may be on exactly what's going on.""

In recent days, Chinese officials have tried to turn the tables and claim America is the country to blame for the virus -- an accusation that did not sit well with President Trump, who has gone out of his way to call COVID-19 the ""China Virus"" or the ""Wuhan Virus"" despite demands from China to stop.
On Wednesday, Trump defended linking the virus to China.
""It's not racist at all,"" he said during a press conference.""No, not at all. It comes from China. I want to be accurate.""
While the pandemic is just one in a series of irritants that have strained the relationship between China and the United States in the past three years, China shifting the blame to the United States has infuriated the Trump administration so much that it has been working overtime to combat Beijing's unproven claims.
.




";0
13;Queen Urges Britons to Focus on ‘Common Goal’ as Virus Spreads;"Queen Elizabeth II urged people to adapt their lifestyles and work together to protect the most vulnerable as the U.K. accelerated its efforts to tackle the deepening coronavirus crisis.
The 93-year-old monarch said Britain’s history is “forged by people and communities coming together to work as one” and it has succeeded when people unite in pursuit of a common goal.
She and her husband, Prince Philip, traveled to Windsor Castle, to the west of London, on Thursday, according to the statement.

“We are enormously thankful for the expertise and commitment of our scientists, medical practitioners and emergency and public services,” she said. “But now, more than any time in our recent past, we all have a vitally important part to play as individuals -- today and in the coming days, weeks and months.”
Prime Minister Boris Johnson’s government is considering tougher action to fight the spread of the coronavirus in London, the epicenter of the U.K. outbreak, though it denied it plans to ban people from leaving their homes or the city. Bars, restaurants and shops are expected to close in an effort to contain the outbreak, which has taken at least 104 lives in the U.K..
“Many of us will need to find new ways of staying in touch with each other and making sure that loved ones are safe,” the queen said. “I am certain we are up to that challenge. You can be assured that my family and I stand ready to play our part.”
";0
14;Boris Johnson: UK can turn tide of coronavirus in 12 weeks;"Boris Johnson has raised the prospect of mass testing for coronavirus and and social distancing allowing the UK to return to some form of normality by the summer, while stressing that tougher measures such as locking down cities remained a possibility.
The next 12 weeks could “turn the tide of this disease”, Johnson told the daily Downing Street press conference on the pandemic, saying it was possible to “send coronavirus packing in this country, but only if we all take the steps we have outlined”.
Flanked by his chief scientific adviser, Patrick Vallance, and chief medical adviser, Chris Whitty, Johnson did not announce any new measures to keep people separated and slow the spread of the virus, such as a much reported plan to severely restrict movement in London, the UK epicentre of the outbreak.
“We’re guided very much by the science and whether we think the advice we have given is working,” Johnson said, when asked whether new restrictions could be introduced. But, he added, if current measures were not working, “nothing is ruled out”.
Striking a notably, if cautiously, optimistic note, Johnson said: “I think, looking at it all, that we can turn the tide within the next 12 weeks and I’m absolutely confident that we can send coronavirus packing in this country. But only if we all take the steps that we’ve outlined – that is vital.”
The PM based his assessment on experimental treatments for the virus, saying the first UK patients had that day been part of a randomised test for one drug, and also the possibly rapid rollout of an antibody test “as simple as a pregnancy test”, which could determine if someone has had the Covid-19 virus.
“That knowledge of where the virus is will make a huge difference to our management of the disease and our ability to reduce disruption and economic difficulty,” Johnson said, saying hundreds of thousands of the tests could be bought.
Johnson did stress the test had not yet been proven. Whitty also urged some caution, warning that while an antibody test looked possible, it remained to be seen whether the ones being offered now worked well enough.
The PM was at pains to dispel rumours of imminent and robust new measures in London, such as forcing bars and pubs to close, and limiting movement – but warned that people needed to abide by social distancing rules, saying adherence was “very patchy” in some parts of the capital.
“There is no prospect of us wanting to stop public transport in London or stop the tube or the buses,” he said. “We are going to want people to avoid gatherings where they transmit the disease. If it becomes necessary to do more to ensure that, we will certainly do so.”
But in one politically striking answer, Johnson said the economic response to the pandemic would be “different from 2008”, saying that, after the banking crash, ordinary workers had not been assisted in the way the banks were. The mantra would be “looking after the people first”, Johnson said.
Asked about hospital capacity, especially in London, Whitty said intensive and respiratory care would be “first point of pressure”, and that even with proper social distancing, patient numbers would rise for the next two weeks.
Whitty said it was up to people to abide by guidance: “There’s a lot of evidence a huge proportion of people are – we don’t know if it will be enough.”
Other priorities, he said, would be to test more NHS staff for the virus, and to roll out more protective equipment for them.";0
15;US state department warns against all Americans leaving country amid pandemic;"The State Department’s Level 4 advisory on all international travel comes a week after the government issued a Level 3 advisory, which urged Americans to reconsider their travel plans.

A number of Americans are already trying to get back home from countries like Guatemala, which has implemented harsh restrictions on flights going into and out of the country.

The latest advisory will likely cause more anxiety for Americans currently traveling abroad.

“If you choose to travel internationally, your travel plans may be severely disrupted, and you may be forced to remain outside of the United States for an indefinite timeframe,” the latest advisory reads.";0
16;Interest rates cut to their lowest on record to fight coronavirus crisis;"The Bank of England has cut interest rates to their lowest level on record and launched £200 billion more quantitative easing to rescue the economy as the coronavirus crisis continues to rock financial markets.

In its second emergency intervention in little over a week, the Bank cut rates from 0.25 per cent to 0.1 per cent and pledged to buy £200 billion more gilts and corporate bonds to prop up growth, taking its total QE programme to £645 billion.

The action was taken after a serious deterioration in the gilt market as investors have sold out of UK government debt to switch into short-term cash holdings, largely in dollars. With the economy effectively in suspended animation, investors are liquidating their positions and scrambling for the
";0
17;Jay Inslee Urges the Trump Administration to Treat the Coronavirus Response Like a War;"Washington Gov. Jay Inslee, whose state has been among the hardest hit by the novel coronavirus, is urging the federal government to mount a wartime-style push to manufacture the equipment needed to curb the spread of COVID-19.
“This is one place the federal government could be very useful,” the Democratic governor told TIME in a phone interview Wednesday, urging the Trump Administration to mobilize to “enhance the manufacturing supply chain like happened in World War II. I think the federal government should do that immediately to expand the manufacturing capacity.”
Washington, the first state to deal with an outbreak of COVID-19, has more than 1,100 confirmed cases and more than 65 deaths caused by the virus as of Wednesday, according to the Washington State Department of Health. Inslee has declared a state of emergency, ordered schools shut statewide for six weeks and imposed a two-week closure of restaurants, bars and other recreational gathering spots, among the dramatic measures the state has taken to try to slow the spread of the virus. The governor, aware of how precarious the situation is from first-hand experience managing the outbreak, is worried about shortages in supplies, from ventilators to Personal Protective Equipment.
“It would be very helpful if the federal government could use its enormous levers, both statutory and economic, to try to increase the supply chain and bring new manufacturers to make some of these products that maybe have never made them before, but we really need them to make them now,” Inslee says.
Already there are reports of businesses looking to shift production to materials in demand due to the virus. Minnesota’s StarTribune, for example, reported that a Duluth, Minn., distillery is making hand sanitizer and giving it out for free. The Detroit News reported that some of Detroit’s automakers are looking into whether they could produce medical equipment like ventilators.
Inslee says Washington is considering “creative ways” to manufacture equipment, like prison industries manufacturing masks. “That’s not a done deal yet, but it’s something we’re exploring,” he adds. But though the state is looking at every potential avenue, Inslee insisted a federal response is necessary, given its ability in scale and scope to mobilize national industries.
Expanding mobilization could quickly become relevant to the rest of the country: Medical experts throughout the U.S. worry that if the rate of new cases is not slowed and stays on track with Italy’s exponential growth, the entire American health care infrastructure will be overrun.
“We are going to have enormous challenges in our medical system, and we are being as aggressive as possible creating new surge capacity in our hospitals,” Inslee says. “The biggest challenge is personnel, to have enough medical personnel on hand. So we’re bringing in retirees and people who are ready to go, potentially, from other states. And we are asking for military assistance.”
Inslee had praise for some of the federal officials leading the response to the pandemic, including Vice President Mike Pence, and Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases. But he described frustration with the Trump Administration’s initial response.
“Obviously it was more than frustrating that for what seemed like an enormous length of time, we weren’t getting information shared right from the White House,” Inslee says. “It could have been very, very helpful. But we are not dwelling on the past, we have to be really focused on what we can do today, and so I’m focused on going forward and not dwelling on that unfortunate lost time and opportunities for the White House.”
At one point, the relationship between the President and Inslee was so strained that they were trading public barbs. Inslee, who ran for the 2020 Democratic presidential nomination with climate change as his top issue, criticized the Trump Administration’s handling of information. “I told [Pence] our work would be more successful if the Trump Administration stuck to the science and told the truth,” Inslee tweeted. 
In response, Trump, who downplayed the seriousness of the outbreak for months, called Inslee a “snake.” 
Asked if he thought the state and federal responses were unified now, Inslee responded: “Well we have good working relationships with millions of people in the federal government. It’s just one federal employee that’s created real frustrations.”
";0
18;The First U.S. Company Has Announced an Upcoming Home COVID-19 Test;"Everlywell, a home testing company that offers dozens of lab tests to consumers, is adding a COVID-19 test beginning on March 23.
Given the slow roll out of testing for COVID-19 in the U.S., and concerns about spreading the disease, at-home testing could help to diagnose more cases. After initially limiting testing to one provided by the Centers for Disease Control and conducted at state and local public health labs, the Food and Drug Administration allowed certified labs, including commercial lab testing companies, to develop and distribute COVID-19 tests on Feb. 29. Though other private companies have been involved with creating tests for COVID-19, this is the first company to offer its test directly to consumers.
The Austin-based Everlywell offers a range of validated tests for everything from cholesterol levels to fertility and infectious diseases like STDs.

People can order the Everlywell COVID-19 test on the company’s website, after first answering questions about their basic health, symptoms and risk factors for the coronavirus disease. A doctor still needs to prescribe the test, so telemedicine doctors from PWNHealth, a national network of physicians who prescribe diagnostic tests, then reviews these answers to determine if a person qualifies for testing, based on criteria established by the Centers for Disease Control and Prevention. Currently, because COVID-19 tests are not plentiful in the U.S., doctors are trying to rule out other respiratory diseases like flu first, and only ordering tests for people with symptoms who also have other risk factors for infection, such as being in close contact with others who have been diagnosed.
If the telemedicine doctor decides to prescribe an Everlywell COVID-19 test, the company says it will send the $135 test kit in two days (customers can pay $30 more to receive the kit overnight). The kit comes with a special swab that is long enough to take samples from the back of the nose and throat area, along with instructions for how to seal the swab sample to send it back to the company. People can also provide both spit and sputum samples as backups. (For now, the Food and Drug Administration only validates samples from nasoparyngeal swabs, but companies have applied to test spit and sputum.).
The sample is sent in a pre-paid overnight package, and processed at one of several labs approved by the FDA to perform the test around the country within 72 hours. As with many of the commercially available tests, this one extracts SARS-CoV-2, the virus behind COVID-19, from the sample and then probes for specific genetic signatures of the virus.
Keep up to date with our daily coronavirus newsletter by clicking here.
The company says it will then send results by text and email, and doctors may advise people to self-isolate until they receive them. If the test is positive, the company also provides a full telemedicine consultation with one of around 200 physicians that is included in the cost of the test. That physician also reports the result as a positive case to the appropriate state health departments, as is required by health authorities.
Everlywell says it is ready to ship 30,000 COVID-19 tests, and plans to expand the number of labs processing the samples. But CEO and founder Julia Cheek says that scaling up the number of testing kits will depend on the availability of swabs for collecting samples. Three major manufacturers make the swabs, but the main producer, it turns out, is a company based in Italy. Because the country is under lockdown, limited supplies from there, as well as the surge in demand as more COVID-19 testing is conducted around the world, are leading to a global shortage of swabs for any lab performing the test. That’s why Everlywell’s first kits will contain only one swab, and Everlywell will limit kits to one per household until the supply of swabs becomes more plentiful.

“We’re working hard to ramp up weekly capacity to test 250,000 Americans,” says Cheek. “Our goal is to continue to refresh capacity but with the global swab shortage we don’t have a confirmed timeline for that yet. Ultimately, she says, the testing kits could be designed for a household so everyone in a family could be tested if needed to know what protective measure they might need to take.

";0
19;Trump Signs Law to Grant Paid Leave Benefits Amid Coronavirus Crisis—But Millions Won’t Be Eligible;"Public health officials have simple advice to abate the spread of COVID-19in the United States: If you’re sick, stay home. And even if you’re not sick, stay home and practice “social distancing” whenever possible.
That could be challenging for the 24% of American civilian workers who lack any sort of paid sick leave. If they skip work because they’re feeling ill or because their children’s schools have closed as a result of coronavirus, they miss paychecks. If they go to work sick, they risk spreading coronavirus to their coworkers and customers.
So as confirmed COVID-19 cases surged from Seattle to New York City, House Democrats attempted to pass legislation that would have provided full-time employees with seven paid sick days on a permanent basis, and 14 additional paid sick days to be used during the duration of the current public health emergency.
They came up short. House Speaker Nancy Pelosi and Treasury Secretary Steve Mnuchin held marathon talks about the contents of the Families First Coronavirus Response Act, but multiple House aides previously told TIME that the paid sick leave provisions were a sticking point. Early Saturday, the House passed a version of the bill that includes some temporary paid sick leave provisions, but also includes exemptions that will disqualify millions of Americans. The Senate subsequently passed the amended legislation on Wednesday, and President Donald Trump signed the bill into law hours later.
If you work for the government, or for a company with fewer than 500 employees, you will be eligible for two weeks of sick leave at your regular pay rate to either quarantine, or to seek a COVID-19 diagnosis or preventive care for yourself.

You will also be eligible for two weeks of paid sick leave at no less than two-thirds your regular pay rate if you are caring for a family member with a COVID-19 diagnosis, or to care for a child whose school or daycare has closed as a result of coronavirus concerns.
Full-time employees will be entitled to 80 hours worth of paid sick time. Part-time employees will be entitled to the number of hours they normally work in a two-week period.
Additionally, an expanded Family and Medical Leave Act will provide government employees and those who have worked for companies with fewer than 500 employees for at least 30 days with 10 weeks of emergency paid leave to care for children whose schools or daycare facilities were closed.
Quarantined workers, or those who were caring for afflicted family members, will not be eligible. Healthcare providers and other first responders can also be excluded. After 10 days of unpaid leave, your employer will pay you no less than two-thirds of your usual pay—up to $200 per day, and $10,000 in total.
The legislation stipulates that the Department of Labor can exempt businesses with fewer than 50 employees from providing workers with paid emergency leave “when the imposition of such requirements would jeopardize the viability of the business.” About 12 million private sector employees work for companies with fewer than 50 employees.
Companies with more than 500 employees are also excluded from the paid leave mandate. The Bureau of Labor Statistics reported about 59 million peopleworked for companies with more than 500 employees in 2019—approximately 6.5 million of those people did not have access to paid sick leave.
In light of COVID-19 concerns, however, some large companies have decided to provide paid leave on their own in recent weeks.
Walmart, the largest private employer in the U.S. and which already had a paid sick leave policy, has expanded its policies in light of the global health crisis. Employees working in Walmart stores, offices or distribution centers that are part of mandated quarantines—whether imposed by the government or Walmart—will now receive up to two weeks of pay. Any employee who tests positive for COVID-19 will also receive up to two weeks of pay, according to a press release the company released March 10. Darden Restaurants, which owns the large chain restaurants Olive Garden and Longhorn Steakhouse, recently announced it would offer its employees one hour of paid sick leave for every 30 hours worked.
Companies with less than 500 employees will have to front the costs of paid sick and emergency leave, but will later be eligible for reimbursement tax credits from the government. For paid sick leave wages provided to employees who must quarantine because they are sick with COVID-19 or are trying to obtain a diagnosis, companies will be reimbursed up to $511 per employee per day. For paid sick leave wages provided to employees caring for loved ones, employers will be reimbursed up to $200 per worker per day. Self-employed individuals are also eligible for the reimbursable tax credits.
Though the original version of the Families First Coronavirus Response Act included a permanent paid sick leave benefit that would have enabled workers to accrue seven days worth of paid sick leave, the sick leave benefits included in bill that passed the House and Senate will only last through December 31, 2020.
Paid Leave For All Director Dawn Huckelbridge says she’s disappointed more workers aren’t eligible for the benefits, but still sees it as a positive first step toward more inclusive paid leave legislation.
“Obviously it’s not everything, and there’s more that we can and that we must do,” Huckelbridge says. “We do know that this bill does leave out millions, but it does still cover millions. And every day that workers aren’t able to stay home, we’re losing time and we’re losing lives.”
President Donald Trump signed the bill into law on Wednesday night, and the paid leave provisions are supposed to take effect within 15 days.
Trump’s signature was not exactly a surprise. People close to the White House told TIME that Trump’s daughter and senior advisor, Ivanka Trump, was on every call with Secretary Mnuchin and the President that was related to the paid leave aspects of the legislation. She was also in constant communication with Mnuchin during the negotiation process with the House, the sources say.
As the sick and death counts continue to rise, Huckelbridge urges Trump and Congress to keep going. “I think that there is an urgent need to pass this bill, and there is an urgent need to keep building on it,” she says, “so we’re not caught flat footed for the next crisis.”
";0
20;The NY Times exposes real reason behind coronavirus hype: Crash the market to harm Trump’s reelection chances;"For Americans who see the Democrat Left behind the over-hyped media coverage and societal reactions to the coronavirus ‘pandemic,’ The New York Times, God bless ’em, just proved those suspicions correct.
And wouldn’t you know it, the strategy is a familiar one: Use a manufactured crisis to get rid of President Donald Trump.
Oh, true, coronavirus is real enough, But given it’s so-far minuscule infection rate in the U.S. (1,600 or so), death rate (~40), and the fact that more than half of patients infected by the disease globally have already recovered, there is no reason to shutter professional sports seasons or declare states of emergency when you have a single case of the virus in your state. Why? Think November 2020.
Under the headline, “Trump’s Re-election Chances Suddenly Look Shakier,” the Times reports:
President Trump faces the biggest challenge yet to his prospects of being re-elected, with his advisers’ two major assumptions for the campaign — a booming economy and an opponent easily vilified as too far left — quickly evaporating.
After a year in which Mr. Trump has told voters that they must support his re-election or risk watching the economy decline, the stock market is reeling and economists are warning that a recession could be on the horizon because of the worsening spread of the coronavirus.
And instead of elevating Senator Bernie Sanders of Vermont, as Mr. Trump made clear was his hope, Democrats have suddenly and decisively swung from a flirtation with socialism to former Vice President Joseph R. Biden Jr., who has run a primary campaign centered on a return to political normalcy.
“Biden’s success in the suburbs makes him an acceptable alternative to Trump,” said Scott Reed, the top political adviser for the United States Chamber of Commerce. “His turnout in the suburbs threatens the Republican Senate.”
Said Kevin DeWine, the former chairman of the Ohio Republican Party, to the Times — and this is telling: “If it was Warren or Bernie and you don’t have coronavirus, I think Trump might sneak by. But if it’s Biden, ‘My I.R.A. has tanked,’ and we’re going to have complete disruption because of coronavirus, I think it’s a totally different story.”
The Times concedes:
Of course, what happens in March may ultimately have little bearing in November. Mr. Trump maintains the bully pulpit of the presidency, and Mr. Biden largely avoided intense scrutiny from rivals in a crowded, up-and-down primary campaign.
And if there’s any constant in the Trump era, it is that what’s in the news at a given moment will change in a matter of hours, days or at most weeks. The virus may be mitigated, the economy could rebound, and Mr. Biden’s decades of life in Washington and propensity for gaffes may render him as weak a candidate as some of his rivals in the primary had long predicted.
Yet if Mr. Trump does lose re-election, the seeds of demise may prove to have been planted in early spring.
There is no way Joe “Gaffe” Biden has a shot in Hades against Trump this fall unless certain economic and social conditions occur. Or are exploited thanks to the timely occurrence of events.
We didn’t figure it would be long before the real intention behind all the sports cancellations, states of emergencies declared by Democratic governors, and outsized Democratic congressional responses to a so-far limited viral outbreak — not to mention the asinine tanking of the stock market — were revealed.
And the Times didn’t let us down.
Consider — and this should anger every single American who has their retirement savings wrapped up in investment vehicles and 401(k) accounts: The Democratic Left is proving beyond any doubt they are willing to burn down your savings and your future just to get a short-term political victory.
We have words for people like that but we won’t publish them.";1